movie,years,imdb,genre,votes,metascore
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",193695,54
Murder on the Orient Express,(2017),6.5,"Crime, Drama, Mystery",193656,52
The Fate of the Furious,(2017),6.7,"Action, Adventure, Crime",192655,56
Ghost in the Shell,(2017),6.3,"Action, Drama, Sci-Fi",186800,52
Wind River,(2017),7.7,"Crime, Drama, Mystery",185436,73
Call Me by Your Name,(2017),7.9,"Drama, Romance",180393,93
King Arthur: Legend of the Sword,(2017),6.7,"Action, Adventure, Drama",179879,41
Mother!,(2017),6.6,"Drama, Horror, Mystery",174951,75
The Hitman's Bodyguard,(2017),6.9,"Action, Comedy, Thriller",174357,47
The Mummy,(2017),5.4,"Action, Adventure, Fantasy",164360,34
Atomic Blonde,(2017),6.7,"Action, Thriller",163498,63
"I, Tonya",(2017),7.5,"Biography, Comedy, Drama",161419,77
Bright,(I) (2017),6.3,"Action, Crime, Fantasy",158339,29
Darkest Hour,(2017),7.4,"Biography, Drama, History",154358,75
Valerian and the City of a Thousand Planets,(2017),6.5,"Action, Adventure, Fantasy",152059,51
Baywatch,(2017),5.5,"Action, Comedy, Crime",150016,37
American Made,(2017),7.1,"Action, Biography, Comedy",146205,65
Transformers: The Last Knight,(2017),5.2,"Action, Adventure, Sci-Fi",127696,27
Wonder,(I) (2017),8.0,"Drama, Family",124839,66
The Disaster Artist,(2017),7.4,"Biography, Comedy, Drama",124621,76
The Lego Batman Movie,(2017),7.3,"Animation, Action, Comedy",124218,75
The Post,(2017),7.2,"Biography, Drama, History",120967,83
Molly's Game,(2017),7.4,"Biography, Crime, Drama",119404,71
The Dark Tower,(2017),5.6,"Action, Adventure, Fantasy",118830,34
Logan Lucky,(2017),7.0,"Comedy, Crime, Drama",116534,78
The Big Sick,(2017),7.5,"Comedy, Drama, Romance",112074,86
T2 Trainspotting,(2017),7.2,Drama,104721,67
Happy Death Day,(2017),6.5,"Horror, Mystery, Thriller",103622,58
The Killing of a Sacred Deer,(2017),7.1,"Drama, Horror, Mystery",103496,73
Annabelle: Creation,(2017),6.5,"Horror, Mystery, Thriller",103155,62
Despicable Me 3,(2017),6.3,"Animation, Adventure, Comedy",103053,49
The Boss Baby,(2017),6.3,"Animation, Adventure, Comedy",100777,50
It,(I) (2017),7.3,Horror,424133,69
Blade Runner 2049,(2017),8.0,"Action, Drama, Mystery",417353,81
Baby Driver,(2017),7.6,"Action, Crime, Drama",400585,86
"Three Billboards Outside Ebbing, Missouri",(2017),8.2,"Comedy, Crime, Drama",386210,88
Justice League,(2017),6.4,"Action, Adventure, Fantasy",356056,45
The Shape of Water,(2017),7.3,"Adventure, Drama, Fantasy",340987,87
John Wick: Chapter 2,(2017),7.5,"Action, Crime, Thriller",334367,75
Coco,(I) (2017),8.4,"Animation, Adventure, Family",324208,81
Jumanji: Welcome to the Jungle,(2017),6.9,"Action, Adventure, Comedy",289796,58
Beauty and the Beast,(I) (2017),7.1,"Family, Fantasy, Musical",254807,65
Kong: Skull Island,(2017),6.6,"Action, Adventure, Fantasy",253913,62
Kingsman: The Golden Circle,(2017),6.7,"Action, Adventure, Comedy",251172,44
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,"Action, Adventure, Fantasy",244030,39
Alien: Covenant,(2017),6.4,"Horror, Sci-Fi, Thriller",240209,65
The Greatest Showman,(2017),7.6,"Biography, Drama, Musical",215486,48
War for the Planet of the Apes,(2017),7.4,"Action, Adventure, Drama",214275,82
Lady Bird,(2017),7.4,"Comedy, Drama",206976,94
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",193695,54
Murder on the Orient Express,(2017),6.5,"Crime, Drama, Mystery",193656,52
The Fate of the Furious,(2017),6.7,"Action, Adventure, Crime",192655,56
Ghost in the Shell,(2017),6.3,"Action, Drama, Sci-Fi",186800,52
Wind River,(2017),7.7,"Crime, Drama, Mystery",185436,73
Call Me by Your Name,(2017),7.9,"Drama, Romance",180393,93
King Arthur: Legend of the Sword,(2017),6.7,"Action, Adventure, Drama",179879,41
Mother!,(2017),6.6,"Drama, Horror, Mystery",174951,75
The Hitman's Bodyguard,(2017),6.9,"Action, Comedy, Thriller",174357,47
The Mummy,(2017),5.4,"Action, Adventure, Fantasy",164360,34
Atomic Blonde,(2017),6.7,"Action, Thriller",163498,63
"I, Tonya",(2017),7.5,"Biography, Comedy, Drama",161419,77
Bright,(I) (2017),6.3,"Action, Crime, Fantasy",158339,29
Darkest Hour,(2017),7.4,"Biography, Drama, History",154358,75
Valerian and the City of a Thousand Planets,(2017),6.5,"Action, Adventure, Fantasy",152059,51
Baywatch,(2017),5.5,"Action, Comedy, Crime",150016,37
American Made,(2017),7.1,"Action, Biography, Comedy",146205,65
Transformers: The Last Knight,(2017),5.2,"Action, Adventure, Sci-Fi",127696,27
Wonder,(I) (2017),8.0,"Drama, Family",124839,66
The Disaster Artist,(2017),7.4,"Biography, Comedy, Drama",124621,76
The Lego Batman Movie,(2017),7.3,"Animation, Action, Comedy",124218,75
The Post,(2017),7.2,"Biography, Drama, History",120967,83
Molly's Game,(2017),7.4,"Biography, Crime, Drama",119404,71
The Dark Tower,(2017),5.6,"Action, Adventure, Fantasy",118830,34
Logan Lucky,(2017),7.0,"Comedy, Crime, Drama",116534,78
The Big Sick,(2017),7.5,"Comedy, Drama, Romance",112074,86
T2 Trainspotting,(2017),7.2,Drama,104721,67
Happy Death Day,(2017),6.5,"Horror, Mystery, Thriller",103622,58
The Killing of a Sacred Deer,(2017),7.1,"Drama, Horror, Mystery",103496,73
Annabelle: Creation,(2017),6.5,"Horror, Mystery, Thriller",103155,62
Despicable Me 3,(2017),6.3,"Animation, Adventure, Comedy",103053,49
The Boss Baby,(2017),6.3,"Animation, Adventure, Comedy",100777,50
Phantom Thread,(2017),7.5,"Drama, Romance",97860,90
Blade Runner 2049,(2017),8.0,"Action, Drama, Mystery",417353,81
Baby Driver,(2017),7.6,"Action, Crime, Drama",400585,86
"Three Billboards Outside Ebbing, Missouri",(2017),8.2,"Comedy, Crime, Drama",386210,88
Justice League,(2017),6.4,"Action, Adventure, Fantasy",356056,45
The Shape of Water,(2017),7.3,"Adventure, Drama, Fantasy",340987,87
John Wick: Chapter 2,(2017),7.5,"Action, Crime, Thriller",334367,75
Coco,(I) (2017),8.4,"Animation, Adventure, Family",324208,81
Jumanji: Welcome to the Jungle,(2017),6.9,"Action, Adventure, Comedy",289796,58
Beauty and the Beast,(I) (2017),7.1,"Family, Fantasy, Musical",254807,65
Kong: Skull Island,(2017),6.6,"Action, Adventure, Fantasy",253913,62
Kingsman: The Golden Circle,(2017),6.7,"Action, Adventure, Comedy",251172,44
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,"Action, Adventure, Fantasy",244030,39
Alien: Covenant,(2017),6.4,"Horror, Sci-Fi, Thriller",240209,65
The Greatest Showman,(2017),7.6,"Biography, Drama, Musical",215486,48
War for the Planet of the Apes,(2017),7.4,"Action, Adventure, Drama",214275,82
Lady Bird,(2017),7.4,"Comedy, Drama",206976,94
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",193695,54
Murder on the Orient Express,(2017),6.5,"Crime, Drama, Mystery",193656,52
The Fate of the Furious,(2017),6.7,"Action, Adventure, Crime",192655,56
Ghost in the Shell,(2017),6.3,"Action, Drama, Sci-Fi",186800,52
Wind River,(2017),7.7,"Crime, Drama, Mystery",185436,73
Call Me by Your Name,(2017),7.9,"Drama, Romance",180393,93
King Arthur: Legend of the Sword,(2017),6.7,"Action, Adventure, Drama",179879,41
Mother!,(2017),6.6,"Drama, Horror, Mystery",174951,75
The Hitman's Bodyguard,(2017),6.9,"Action, Comedy, Thriller",174357,47
The Mummy,(2017),5.4,"Action, Adventure, Fantasy",164360,34
Atomic Blonde,(2017),6.7,"Action, Thriller",163498,63
"I, Tonya",(2017),7.5,"Biography, Comedy, Drama",161419,77
Bright,(I) (2017),6.3,"Action, Crime, Fantasy",158339,29
Darkest Hour,(2017),7.4,"Biography, Drama, History",154358,75
Valerian and the City of a Thousand Planets,(2017),6.5,"Action, Adventure, Fantasy",152059,51
Baywatch,(2017),5.5,"Action, Comedy, Crime",150016,37
American Made,(2017),7.1,"Action, Biography, Comedy",146205,65
Transformers: The Last Knight,(2017),5.2,"Action, Adventure, Sci-Fi",127696,27
Wonder,(I) (2017),8.0,"Drama, Family",124839,66
The Disaster Artist,(2017),7.4,"Biography, Comedy, Drama",124621,76
The Lego Batman Movie,(2017),7.3,"Animation, Action, Comedy",124218,75
The Post,(2017),7.2,"Biography, Drama, History",120967,83
Molly's Game,(2017),7.4,"Biography, Crime, Drama",119404,71
The Dark Tower,(2017),5.6,"Action, Adventure, Fantasy",118830,34
Logan Lucky,(2017),7.0,"Comedy, Crime, Drama",116534,78
The Big Sick,(2017),7.5,"Comedy, Drama, Romance",112074,86
T2 Trainspotting,(2017),7.2,Drama,104721,67
Happy Death Day,(2017),6.5,"Horror, Mystery, Thriller",103622,58
The Killing of a Sacred Deer,(2017),7.1,"Drama, Horror, Mystery",103496,73
Annabelle: Creation,(2017),6.5,"Horror, Mystery, Thriller",103155,62
Despicable Me 3,(2017),6.3,"Animation, Adventure, Comedy",103053,49
The Boss Baby,(2017),6.3,"Animation, Adventure, Comedy",100777,50
Phantom Thread,(2017),7.5,"Drama, Romance",97860,90
Power Rangers,(2017),5.9,"Action, Adventure, Sci-Fi",97716,44
Baby Driver,(2017),7.6,"Action, Crime, Drama",400585,86
"Three Billboards Outside Ebbing, Missouri",(2017),8.2,"Comedy, Crime, Drama",386210,88
Justice League,(2017),6.4,"Action, Adventure, Fantasy",356056,45
The Shape of Water,(2017),7.3,"Adventure, Drama, Fantasy",340987,87
John Wick: Chapter 2,(2017),7.5,"Action, Crime, Thriller",334367,75
Coco,(I) (2017),8.4,"Animation, Adventure, Family",324208,81
Jumanji: Welcome to the Jungle,(2017),6.9,"Action, Adventure, Comedy",289796,58
Beauty and the Beast,(I) (2017),7.1,"Family, Fantasy, Musical",254807,65
Kong: Skull Island,(2017),6.6,"Action, Adventure, Fantasy",253913,62
Kingsman: The Golden Circle,(2017),6.7,"Action, Adventure, Comedy",251172,44
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,"Action, Adventure, Fantasy",244030,39
Alien: Covenant,(2017),6.4,"Horror, Sci-Fi, Thriller",240209,65
The Greatest Showman,(2017),7.6,"Biography, Drama, Musical",215486,48
War for the Planet of the Apes,(2017),7.4,"Action, Adventure, Drama",214275,82
Lady Bird,(2017),7.4,"Comedy, Drama",206976,94
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",193695,54
Murder on the Orient Express,(2017),6.5,"Crime, Drama, Mystery",193656,52
The Fate of the Furious,(2017),6.7,"Action, Adventure, Crime",192655,56
Ghost in the Shell,(2017),6.3,"Action, Drama, Sci-Fi",186800,52
Wind River,(2017),7.7,"Crime, Drama, Mystery",185436,73
Call Me by Your Name,(2017),7.9,"Drama, Romance",180393,93
King Arthur: Legend of the Sword,(2017),6.7,"Action, Adventure, Drama",179879,41
Mother!,(2017),6.6,"Drama, Horror, Mystery",174951,75
The Hitman's Bodyguard,(2017),6.9,"Action, Comedy, Thriller",174357,47
The Mummy,(2017),5.4,"Action, Adventure, Fantasy",164360,34
Atomic Blonde,(2017),6.7,"Action, Thriller",163498,63
"I, Tonya",(2017),7.5,"Biography, Comedy, Drama",161419,77
Bright,(I) (2017),6.3,"Action, Crime, Fantasy",158339,29
Darkest Hour,(2017),7.4,"Biography, Drama, History",154358,75
Valerian and the City of a Thousand Planets,(2017),6.5,"Action, Adventure, Fantasy",152059,51
Baywatch,(2017),5.5,"Action, Comedy, Crime",150016,37
American Made,(2017),7.1,"Action, Biography, Comedy",146205,65
Transformers: The Last Knight,(2017),5.2,"Action, Adventure, Sci-Fi",127696,27
Wonder,(I) (2017),8.0,"Drama, Family",124839,66
The Disaster Artist,(2017),7.4,"Biography, Comedy, Drama",124621,76
The Lego Batman Movie,(2017),7.3,"Animation, Action, Comedy",124218,75
The Post,(2017),7.2,"Biography, Drama, History",120967,83
Molly's Game,(2017),7.4,"Biography, Crime, Drama",119404,71
The Dark Tower,(2017),5.6,"Action, Adventure, Fantasy",118830,34
Logan Lucky,(2017),7.0,"Comedy, Crime, Drama",116534,78
The Big Sick,(2017),7.5,"Comedy, Drama, Romance",112074,86
T2 Trainspotting,(2017),7.2,Drama,104721,67
Happy Death Day,(2017),6.5,"Horror, Mystery, Thriller",103622,58
The Killing of a Sacred Deer,(2017),7.1,"Drama, Horror, Mystery",103496,73
Annabelle: Creation,(2017),6.5,"Horror, Mystery, Thriller",103155,62
Despicable Me 3,(2017),6.3,"Animation, Adventure, Comedy",103053,49
The Boss Baby,(2017),6.3,"Animation, Adventure, Comedy",100777,50
Phantom Thread,(2017),7.5,"Drama, Romance",97860,90
Power Rangers,(2017),5.9,"Action, Adventure, Sci-Fi",97716,44
What Happened to Monday,(2017),6.9,"Action, Adventure, Crime",93080,47
"Three Billboards Outside Ebbing, Missouri",(2017),8.2,"Comedy, Crime, Drama",386210,88
Justice League,(2017),6.4,"Action, Adventure, Fantasy",356056,45
The Shape of Water,(2017),7.3,"Adventure, Drama, Fantasy",340987,87
John Wick: Chapter 2,(2017),7.5,"Action, Crime, Thriller",334367,75
Coco,(I) (2017),8.4,"Animation, Adventure, Family",324208,81
Jumanji: Welcome to the Jungle,(2017),6.9,"Action, Adventure, Comedy",289796,58
Beauty and the Beast,(I) (2017),7.1,"Family, Fantasy, Musical",254807,65
Kong: Skull Island,(2017),6.6,"Action, Adventure, Fantasy",253913,62
Kingsman: The Golden Circle,(2017),6.7,"Action, Adventure, Comedy",251172,44
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,"Action, Adventure, Fantasy",244030,39
Alien: Covenant,(2017),6.4,"Horror, Sci-Fi, Thriller",240209,65
The Greatest Showman,(2017),7.6,"Biography, Drama, Musical",215486,48
War for the Planet of the Apes,(2017),7.4,"Action, Adventure, Drama",214275,82
Lady Bird,(2017),7.4,"Comedy, Drama",206976,94
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",193695,54
Murder on the Orient Express,(2017),6.5,"Crime, Drama, Mystery",193656,52
The Fate of the Furious,(2017),6.7,"Action, Adventure, Crime",192655,56
Ghost in the Shell,(2017),6.3,"Action, Drama, Sci-Fi",186800,52
Wind River,(2017),7.7,"Crime, Drama, Mystery",185436,73
Call Me by Your Name,(2017),7.9,"Drama, Romance",180393,93
King Arthur: Legend of the Sword,(2017),6.7,"Action, Adventure, Drama",179879,41
Mother!,(2017),6.6,"Drama, Horror, Mystery",174951,75
The Hitman's Bodyguard,(2017),6.9,"Action, Comedy, Thriller",174357,47
The Mummy,(2017),5.4,"Action, Adventure, Fantasy",164360,34
Atomic Blonde,(2017),6.7,"Action, Thriller",163498,63
"I, Tonya",(2017),7.5,"Biography, Comedy, Drama",161419,77
Bright,(I) (2017),6.3,"Action, Crime, Fantasy",158339,29
Darkest Hour,(2017),7.4,"Biography, Drama, History",154358,75
Valerian and the City of a Thousand Planets,(2017),6.5,"Action, Adventure, Fantasy",152059,51
Baywatch,(2017),5.5,"Action, Comedy, Crime",150016,37
American Made,(2017),7.1,"Action, Biography, Comedy",146205,65
Transformers: The Last Knight,(2017),5.2,"Action, Adventure, Sci-Fi",127696,27
Wonder,(I) (2017),8.0,"Drama, Family",124839,66
The Disaster Artist,(2017),7.4,"Biography, Comedy, Drama",124621,76
The Lego Batman Movie,(2017),7.3,"Animation, Action, Comedy",124218,75
The Post,(2017),7.2,"Biography, Drama, History",120967,83
Molly's Game,(2017),7.4,"Biography, Crime, Drama",119404,71
The Dark Tower,(2017),5.6,"Action, Adventure, Fantasy",118830,34
Logan Lucky,(2017),7.0,"Comedy, Crime, Drama",116534,78
The Big Sick,(2017),7.5,"Comedy, Drama, Romance",112074,86
T2 Trainspotting,(2017),7.2,Drama,104721,67
Happy Death Day,(2017),6.5,"Horror, Mystery, Thriller",103622,58
The Killing of a Sacred Deer,(2017),7.1,"Drama, Horror, Mystery",103496,73
Annabelle: Creation,(2017),6.5,"Horror, Mystery, Thriller",103155,62
Despicable Me 3,(2017),6.3,"Animation, Adventure, Comedy",103053,49
The Boss Baby,(2017),6.3,"Animation, Adventure, Comedy",100777,50
Phantom Thread,(2017),7.5,"Drama, Romance",97860,90
Power Rangers,(2017),5.9,"Action, Adventure, Sci-Fi",97716,44
What Happened to Monday,(2017),6.9,"Action, Adventure, Crime",93080,47
Downsizing,(2017),5.7,"Drama, Sci-Fi",90000,63
Justice League,(2017),6.4,"Action, Adventure, Fantasy",356056,45
The Shape of Water,(2017),7.3,"Adventure, Drama, Fantasy",340987,87
John Wick: Chapter 2,(2017),7.5,"Action, Crime, Thriller",334367,75
Coco,(I) (2017),8.4,"Animation, Adventure, Family",324208,81
Jumanji: Welcome to the Jungle,(2017),6.9,"Action, Adventure, Comedy",289796,58
Beauty and the Beast,(I) (2017),7.1,"Family, Fantasy, Musical",254807,65
Kong: Skull Island,(2017),6.6,"Action, Adventure, Fantasy",253913,62
Kingsman: The Golden Circle,(2017),6.7,"Action, Adventure, Comedy",251172,44
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,"Action, Adventure, Fantasy",244030,39
Alien: Covenant,(2017),6.4,"Horror, Sci-Fi, Thriller",240209,65
The Greatest Showman,(2017),7.6,"Biography, Drama, Musical",215486,48
War for the Planet of the Apes,(2017),7.4,"Action, Adventure, Drama",214275,82
Lady Bird,(2017),7.4,"Comedy, Drama",206976,94
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",193695,54
Murder on the Orient Express,(2017),6.5,"Crime, Drama, Mystery",193656,52
The Fate of the Furious,(2017),6.7,"Action, Adventure, Crime",192655,56
Ghost in the Shell,(2017),6.3,"Action, Drama, Sci-Fi",186800,52
Wind River,(2017),7.7,"Crime, Drama, Mystery",185436,73
Call Me by Your Name,(2017),7.9,"Drama, Romance",180393,93
King Arthur: Legend of the Sword,(2017),6.7,"Action, Adventure, Drama",179879,41
Mother!,(2017),6.6,"Drama, Horror, Mystery",174951,75
The Hitman's Bodyguard,(2017),6.9,"Action, Comedy, Thriller",174357,47
The Mummy,(2017),5.4,"Action, Adventure, Fantasy",164360,34
Atomic Blonde,(2017),6.7,"Action, Thriller",163498,63
"I, Tonya",(2017),7.5,"Biography, Comedy, Drama",161419,77
Bright,(I) (2017),6.3,"Action, Crime, Fantasy",158339,29
Darkest Hour,(2017),7.4,"Biography, Drama, History",154358,75
Valerian and the City of a Thousand Planets,(2017),6.5,"Action, Adventure, Fantasy",152059,51
Baywatch,(2017),5.5,"Action, Comedy, Crime",150016,37
American Made,(2017),7.1,"Action, Biography, Comedy",146205,65
Transformers: The Last Knight,(2017),5.2,"Action, Adventure, Sci-Fi",127696,27
Wonder,(I) (2017),8.0,"Drama, Family",124839,66
The Disaster Artist,(2017),7.4,"Biography, Comedy, Drama",124621,76
The Lego Batman Movie,(2017),7.3,"Animation, Action, Comedy",124218,75
The Post,(2017),7.2,"Biography, Drama, History",120967,83
Molly's Game,(2017),7.4,"Biography, Crime, Drama",119404,71
The Dark Tower,(2017),5.6,"Action, Adventure, Fantasy",118830,34
Logan Lucky,(2017),7.0,"Comedy, Crime, Drama",116534,78
The Big Sick,(2017),7.5,"Comedy, Drama, Romance",112074,86
T2 Trainspotting,(2017),7.2,Drama,104721,67
Happy Death Day,(2017),6.5,"Horror, Mystery, Thriller",103622,58
The Killing of a Sacred Deer,(2017),7.1,"Drama, Horror, Mystery",103496,73
Annabelle: Creation,(2017),6.5,"Horror, Mystery, Thriller",103155,62
Despicable Me 3,(2017),6.3,"Animation, Adventure, Comedy",103053,49
The Boss Baby,(2017),6.3,"Animation, Adventure, Comedy",100777,50
Phantom Thread,(2017),7.5,"Drama, Romance",97860,90
Power Rangers,(2017),5.9,"Action, Adventure, Sci-Fi",97716,44
What Happened to Monday,(2017),6.9,"Action, Adventure, Crime",93080,47
Downsizing,(2017),5.7,"Drama, Sci-Fi",90000,63
Gifted,(2017),7.6,Drama,89914,60
The Shape of Water,(2017),7.3,"Adventure, Drama, Fantasy",340987,87
John Wick: Chapter 2,(2017),7.5,"Action, Crime, Thriller",334367,75
Coco,(I) (2017),8.4,"Animation, Adventure, Family",324208,81
Jumanji: Welcome to the Jungle,(2017),6.9,"Action, Adventure, Comedy",289796,58
Beauty and the Beast,(I) (2017),7.1,"Family, Fantasy, Musical",254807,65
Kong: Skull Island,(2017),6.6,"Action, Adventure, Fantasy",253913,62
Kingsman: The Golden Circle,(2017),6.7,"Action, Adventure, Comedy",251172,44
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,"Action, Adventure, Fantasy",244030,39
Alien: Covenant,(2017),6.4,"Horror, Sci-Fi, Thriller",240209,65
The Greatest Showman,(2017),7.6,"Biography, Drama, Musical",215486,48
War for the Planet of the Apes,(2017),7.4,"Action, Adventure, Drama",214275,82
Lady Bird,(2017),7.4,"Comedy, Drama",206976,94
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",193695,54
Murder on the Orient Express,(2017),6.5,"Crime, Drama, Mystery",193656,52
The Fate of the Furious,(2017),6.7,"Action, Adventure, Crime",192655,56
Ghost in the Shell,(2017),6.3,"Action, Drama, Sci-Fi",186800,52
Wind River,(2017),7.7,"Crime, Drama, Mystery",185436,73
Call Me by Your Name,(2017),7.9,"Drama, Romance",180393,93
King Arthur: Legend of the Sword,(2017),6.7,"Action, Adventure, Drama",179879,41
Mother!,(2017),6.6,"Drama, Horror, Mystery",174951,75
The Hitman's Bodyguard,(2017),6.9,"Action, Comedy, Thriller",174357,47
The Mummy,(2017),5.4,"Action, Adventure, Fantasy",164360,34
Atomic Blonde,(2017),6.7,"Action, Thriller",163498,63
"I, Tonya",(2017),7.5,"Biography, Comedy, Drama",161419,77
Bright,(I) (2017),6.3,"Action, Crime, Fantasy",158339,29
Darkest Hour,(2017),7.4,"Biography, Drama, History",154358,75
Valerian and the City of a Thousand Planets,(2017),6.5,"Action, Adventure, Fantasy",152059,51
